lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
LEXUS,CT200H,CT,CT 200h,M10LEXVP000K261,A10(a)ZWA10(H)ZWA10R-AHXBBW(2B),EH,oui,5,73.0,V 0,"4,099999905",4,,94.0,"0,187000006","0,028000001","0,003",,,1485,1540,715/2007*566/2011EURO5,mars-14,BERLINE,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVPG123419,639/2KAA31320E3M3C2W28,GO,non,10,120.0,M 6,"8,899999619","6,5",,193.0,"0,046",,"0,196999997","0,216000006",0,2586,2675,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP604U816,639/2LAB61280N2A1F2U28,GO,non,15,165.0,A 5,"10,89999962","7,099999905",,224.0,"0,361000001",,"0,256999999","0,289000005",0,2186,2275,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MITSUBISHI,SPACE STAR,SPACE STAR,SPACE STAR 1.2L Intense,M10MTSVP002R632,A00A0411AABBA5A5AAAA,ES,non,4,59.0,M 5,"4,800000191","3,700000048",,96.0,"0,275000006","0,037999999","0,026000001",,,920,920,"""715/2007*459/2012EURO5",,BERLINE,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L3H3 TDI (163ch),M10VWGVPE04D556,2EC2KH4D1350NLEB24WB9,GO,non,10,120.0,M 6,"8,899999619",7,,203.0,"0,400999993",,"0,213","0,250999987","0,001",2246,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H2 TDI (163ch),M10VWGVPC496057,2EC2KM4D1349EMEC24UB9,GO,non,10,120.0,M 6,"9,399999619","7,199999809",8.0,209.0,"0,388000011",,"0,222000003","0,266000003","0,001",2064,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI 4x4,M10MCDVP604N712,639/2LAA73305N3A2G2T38,GO,non,9,100.0,A 5,11,"7,300000191",,230.0,"0,006",,"0,210999995","0,219999999",0,2155,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H1 TDI (163ch),M10VWGVPC50F850,2EC2KN4D1320NNEA24WE7,GO,non,10,120.0,M 6,"8,5","6,900000095",,197.0,"0,409000009",,"0,213","0,25","0,001",1976,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L3H3 TDI (136ch),M10VWGVPE03J684,2EC2KH4C1350ELED24VD9,GO,non,9,100.0,M 6,"9,899999619","7,400000095",,218.0,"0,136999995",,"0,214000002","0,238999993","0,001",2246,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,CLASSE C,C 200,C 200 CDI STATION WAGON BVA7 FAP,M10MCDVPFY5U253,204KH2S1M0NRAAA573,GO,non,8,100.0,A 7,"6,5","4,900000095",,144.0,"0,068000004",,"0,157000005","0,167999998",0,1645,1645,"""715/2007*630/2012EURO5",,BREAK,SUPERIEURE,,,,
