lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPF135942,906AC35KHMC1350EMED23WB9,GO,non,9,95.0,M 6,"10,19999981","6,800000191",8.0,210.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2859,"""2005/55*2008/74EEV",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP605X660,639/2LBA31305N3A2D2T37,GO,non,10,120.0,A 5,10,"6,800000191",8.0,211.0,"0,041999999",,"0,189999998","0,201000005","0,001",2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP376P395,639/2KAA71280N3M3D1U29,GO,non,9,100.0,M 6,"9,5","6,699999809",7699999809.0,203.0,"0,174999997",,"0,225999996","0,247999996","0,001",2186,2200,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVPG09D459,639/2LAA31280N2M3D2S27,GO,non,10,120.0,M 6,"8,699999809","6,300000191",7099999905.0,187.0,"0,046",,"0,196999997","0,216000006",0,2050,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVPG13L145,639/2LAA71305N3M3K1U27,GO,non,9,100.0,M 6,"9,5","6,699999809",7699999809.0,203.0,"0,046",,"0,196999997","0,216000006",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 4x4 316 CDI - 37,M10MCDVPF19G656,906AC35/4x4KNMD2350EMCC6KWA9,GO,non,11,120.0,A 5,"10,19999981","7,599999905",8600000381.0,227.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2859,"""2005/55*2008/74EEV",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L4H2 TDI (136ch),M10VWGVPE06E034,2EC2KM4C1349ESED24VB9,GO,non,9,100.0,M 6,"9,899999619","7,400000095",8300000191.0,218.0,"0,136999995",,"0,214000002","0,238999993","0,001",2279,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
DACIA,DUSTER,DUSTER,DUSTER 1.6 16V (105ch) GPL 4x2,M10DACVP0008731,HSD855,ES/GP,non,6,77.0,M 5,"9,699999809",6,7199999809.0,165.0,"0,372999996","0,043000001","0,039000001",,,1280,1375,715/2007*195/2013EURO5,mars-14,TS TERRAINS/CHEMINS,INFERIEURE,,,,
MERCEDES,CLASSE S,S 600,S 600 LIMOUSINE BVA7,M10MCDVPGY7R405,221P17BP0NZAAB503,ES,non,44,390.0,A 7,"16,39999962","8,399999619",1130000019.0,264.0,"0,338","0,046","0,029999999",,0,2185,2185,"""715/2007*195/2013EURO6",,BERLINE,LUXE,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 316 CDI - 37,M10MCDVPF14R599,906AC35KHMD1350EMEA22WX9,GO,non,10,120.0,M 6,"8,800000191","6,199999809",7199999809.0,189.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2859,"""2005/55*2008/74EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H3 TDI (163ch) BlueMotion,M10VWGVPC464992,2EC2KH4D1350NMEA25VE9,GO,non,10,120.0,M 6,8,"6,599999905",7099999905.0,187.0,"0,409000009",,"0,213","0,25","0,001",2100,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 43,M10MCDVPF13K533,906AC35KHMC1349ELFA23WA9,GO,non,8,95.0,A 7,"9,399999619","6,599999905",7599999905.0,201.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2849,"""2005/55*2008/74EEV",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H1 TDI (163ch) BlueMotion,M10VWGVPE09L390,2EC2KN4D1349NNEB25WB9,GO,non,10,120.0,M 6,"8,300000191","6,900000095",7400000095.0,195.0,"0,400999993",,"0,213","0,250999987","0,001",1976,2783,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVPG12S674,639/2KAA71320E2M3C2S28,GO,non,8,100.0,M 6,"8,699999809","6,300000191",7099999905.0,187.0,"0,046",,"0,196999997","0,216000006",0,1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
SEAT,LEON ST,LEON,LEON ST 2.0 TDI (184ch) Start/Stop DSG,M10SETVP002A670,5FFCUNAX0FD6SFD6D90067MMML,GO,non,10,135.0,A 6,"5,699999809","4,099999905",4699999809.0,122.0,"0,165999994",,"0,074000001","0,108000003",0,1435,1435,715/2007*195/2013EURO6,juin-13,BREAK,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H3 TDI (163ch),M10VWGVPE046452,2EC2KH4D1350EMEB24WD9,GO,non,10,120.0,M 6,"8,899999619",7,7699999809.0,203.0,"0,400999993",,"0,213","0,250999987","0,001",2100,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP041J858,639/2LAA31280N1M3C2T37,GO,non,10,120.0,M 6,"8,899999619","6,5",7300000191.0,192.0,"0,174999997",,"0,225999996","0,247999996","0,001",2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L4H3 TDI (136ch) BlueMotion,M10VWGVPC46U303,2EC2KH4C1350ESEB25WA9,GO,non,9,100.0,M 6,8,"6,699999809",7199999809.0,189.0,"0,398000002",,"0,232999995","0,266000003","0,001",2307,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
BMW,SERIE 6,640,"640i CoupÃÂÃÂÃÂÃÂ© (jantes 18'', 19'' ou 20'' avec monte mixte)",M10BMWVP0114370,6CLW315A340000,ES,non,21,235.0,A 8,"10,5","6,199999809",7800000191.0,181.0,"0,229000002","0,050000001","0,015",,"0,003",1760,1760,"""715/2007*566/2011EURO5",,COUPE,LUXE,,,,
MERCEDES,VITO,VITO,COMBI 110 CDI,M10MCDVP609G445,639/2KAA11320E3M4C2S28,GO,non,7,70.0,M 6,"9,100000381","6,400000095",7400000095.0,195.0,"0,082999997",,"0,229000002","0,25","0,001",1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,CITAN,CITAN,CITAN COMBI 108 CDI,M10MCDVPT967276,XKXB7KXB7C5,GO,non,4,55.0,M 5,5,"4,400000095",4599999905.0,119.0,"0,005",,"0,169","0,225999996",0,1395,1395,"""715/2007*566/2011EURO5",,COMBISPACE,INFERIEURE,,,,
LANCIA,DELTA,DELTA,Delta 1.6 MultiJet (120ch) DPF,M10LNCVP000P180,844AXC1A02H,GO,non,6,88.0,M 6,"5,800000191",4,4699999809.0,122.0,"0,414000005",,"0,170000002","0,217999995",0,1485,1485,715/2007*692/2008EURO5,mars-14,BERLINE,MOY-INFER,,,,
LANCIA,FLAVIA,FLAVIA,Flavia 2.4 (170ch),M10LNCVP0000217,JSLSDE3D4LN1A,ES,non,11,125.0,A 6,"13,60000038",7,9399999619.0,221.0,"0,785000026","0,052000001","0,009",,,1840,1856,715/2007*692/2008EURO5,mars-14,CABRIOLET,SUPERIEURE,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H3 TDI (163ch) BlueMotion,M10VWGVPC47T010,2EC2KH4D1350NMEB25UB9,GO,non,10,120.0,M 6,"8,300000191","6,900000095",7400000095.0,195.0,"0,409000009",,"0,213","0,25","0,001",2100,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVP604G450,639/2LAA71305N3M3J2S27,GO,non,8,100.0,M 6,"8,699999809","6,300000191",7099999905.0,187.0,"0,046",,"0,196999997","0,216000006",0,2075,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVP3761965,639/2LAA71280N2M3B1S27,GO,non,9,100.0,M 6,"9,300000191","6,5",75.0,198.0,"0,174999997",,"0,225999996","0,247999996","0,001",2050,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 3.5 E,M10MCDVP6064824,639/2KAC91280N1A4H7R36,ES,non,18,190.0,A 5,"16,29999924","9,300000191",1189999962.0,279.0,"0,226999998","0,030999999","0,029999999",,,1905,1955,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
AUDI,A4 AVANT,A4,A4 AVANT 2.0 TDI (163ch) ULTRA,M10AUDVP0094190,B8ACNHCF1FM6B1005RB8KBS57MMEM2,GO,non,8,120.0,M 6,"5,099999905",4,4400000095.0,114.0,"0,202999994",,"0,056000002","0,082000002",0,1675,1675,"""715/2007*195/2013EURO6",,BREAK,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVPG101067,639/2LBA31280N3M3J2U37,GO,non,10,120.0,M 6,"8,899999619","6,5",7300000191.0,193.0,"0,046",,"0,196999997","0,216000006",0,2186,2350,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPF13T057,906AC30KNMC1299NNEC15UA9,GO,non,9,95.0,M 6,"10,89999962","6,900000095",8399999619.0,222.0,"0,086000003",,"0,230000004","0,263000011",0,2186,2355,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP602J127,639/2KAA71280N3A2J2U39,GO,non,9,100.0,A 5,"10,10000038","6,900000095",8100000381.0,214.0,"0,041999999",,"0,189999998","0,201000005","0,001",2186,2200,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP023R363,639/2LAA31305N1A2J2S38,GO,non,10,120.0,A 5,10,"6,800000191",8.0,211.0,"0,078000002",,"0,224000007","0,232999995","0,001",2025,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L4H3 TDI (109ch) BlueMotion,M10VWGVPE03H076,2EC2KH4B1349ESED25VB9,GO,non,8,80.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238999993","0,001",2307,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI 4x4,M10MCDVP6037697,639/2LAA33305N1A2G2V38,GO,non,11,120.0,A 5,"11,10000038","7,400000095",8800000191.0,232.0,"0,006",,"0,210999995","0,219999999",0,2356,2525,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP023D676,639/2LAA31305N3A2D2U37,GO,non,11,120.0,A 5,"10,19999981",7,8199999809.0,216.0,"0,078000002",,"0,224000007","0,232999995","0,001",2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVP604K066,639/2LAA71305N1A2B2V27,GO,non,9,100.0,A 5,"10,10000038","6,900000095",8100000381.0,214.0,"0,041999999",,"0,189999998","0,201000005","0,001",2356,2585,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPF18W346,906AC35KNMC1350NNED23WA9,GO,non,9,95.0,M 6,"10,19999981","6,800000191",8.0,210.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2784,"""2005/55*2008/74EEV",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 43,M10MCDVPF15K858,906AC35KMMC1350ELFA22WA9,GO,non,8,95.0,A 7,"9,399999619","6,599999905",7599999905.0,201.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2859,"""2005/55*2008/74EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H2 TDI (109ch) BlueMotion,M10VWGVPC470696,2EC2KM4B1350ENED25TA9,GO,non,8,80.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238000005","0,001",1982,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI 4x4,M10MCDVP0225536,639/2KAA73280N3A2G2U29,GO,non,10,100.0,A 5,"11,19999981","7,5",8899999619.0,234.0,"0,061000001",,"0,228","0,240999997","0,001",2186,2200,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP608J801,639/2LBA31280N3M3C1U37,GO,non,10,120.0,M 6,"9,5","6,699999809",7699999809.0,203.0,"0,046",,"0,196999997","0,216000006",0,2186,2350,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP603N167,639/2LAA31305N1A2D2V28,GO,non,11,120.0,A 5,"10,10000038","6,900000095",8100000381.0,214.0,"0,041999999",,"0,189999998","0,201000005","0,001",2356,2525,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP021P970,639/2KAA71280N1M3F2U29,GO,non,9,100.0,M 6,9,"6,599999905",7400000095.0,195.0,"0,174999997",,"0,225999996","0,247999996","0,001",2186,2200,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L3H2 TDI (163ch),M10VWGVPE07P079,2EC2KM4D1349NLEB2LXA9,GO,non,10,120.0,M 6,"9,600000381","6,699999809",7699999809.0,202.0,"0,185000002",0,"0,105999999",,0,2356,2849,"""595/2009*64/2012EURO6",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVP6090077,639/2LBA71305N3M3D1T27,GO,non,9,100.0,M 6,"9,399999619","6,599999905",7599999905.0,200.0,"0,046",,"0,196999997","0,216000006",0,2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H1 TDI (163ch) BlueMotion,M10VWGVPC51G135,2EC2KN4D1350EMEB25WD9,GO,non,10,120.0,M 6,"8,300000191","6,900000095",7400000095.0,195.0,"0,409000009",,"0,213","0,25","0,001",2028,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 37,M10MCDVPF18K273,906AC35KNMC1350NMED22WB9,GO,non,9,95.0,M 6,"10,19999981","6,800000191",8.0,210.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2801,"""2005/55*2008/74EURO5",,MINIBUS,MOY-INFER,,,,
