lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 37,M10MCDVPF15Y933,906AC35KMMC1350EMFB25WA9,GO,non,9,95.0,A 7,10,"7,300000191",,218.0,"0,086999997",,"0,275000006","0,287",0,2586,2859,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H1 TDI (136ch) BlueMotion,M10VWGVPC50J271,2EC2KN4C1320ENED25UB7,GO,non,9,100.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238000005","0,001",1976,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP372D654,639/2KAA71305N3M3F2U29,GO,non,9,100.0,M 6,9,"6,599999905",,195.0,"0,174999997",,"0,225999996","0,247999996","0,001",2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPF18S209,906AC35KNMC1350ENFA25VA9,GO,non,9,95.0,A 7,"9,800000191","7,099999905",,213.0,"0,093000002",,"0,263999999","0,27700001","0,001",2356,2585,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H2 TDI (163ch) BlueMotion,M10VWGVPE06U729,2EC2KM4D1320NMEB25WA7,GO,non,10,120.0,M 6,"8,300000191","6,900000095",,195.0,"0,400999993",,"0,213","0,250999987","0,001",2064,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPJ85W726,906AC35KMMC1320ENEA25SX9,GO,non,9,95.0,M 6,10,"6,599999905",,207.0,"0,48300001",,"0,221000001","0,287",0,2006,2075,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H2 TDI (109ch) BlueMotion,M10VWGVPE05K174,2EC2KM4B1349EMED25UB9,GO,non,8,80.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238999993","0,001",2064,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 316 CDI - 43,M10MCDVPF14P378,906AC35KHMD1349ESFA25UA9,GO,non,11,120.0,A 7,"9,800000191","7,099999905",,213.0,"0,093000002",,"0,263999999","0,27700001","0,001",2331,2355,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP372A651,639/2KAA71305N3M3D2V29,GO,non,9,100.0,M 6,9,"6,599999905",,195.0,"0,174999997",,"0,225999996","0,247999996","0,001",2356,2450,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVPG09M177,639/2KAA31305N2M3D2U29,GO,non,10,120.0,M 6,"8,899999619","6,5",,193.0,"0,046",,"0,196999997","0,216000006",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 316 CDI - 37,M10MCDVPF18S536,906AC35KNMD1349EMEC25SA9,GO,non,11,120.0,M 6,"10,69999981","6,699999809",,216.0,"0,086000003",,"0,230000004","0,263000011",0,2052,2075,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
AUDI,A5 CABRIOLET,A5,A5 CABRIOLET 2.0 TDI (177ch) MULTITRONIC 8,M10AUDVP0084446,B8KCGLCF1FAV8W001RB8TBS47MJEM1,GO,non,10,130.0,V 0,"5,800000191","4,599999905",5.0,132.0,"0,103",,"0,143000007","0,158999994",0,1755,1755,"""715/2007*630/2012EURO5",,CABRIOLET,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H1 TDI (163ch) BlueMotion,M10VWGVPC502837,2EC2KN4D1320NMEC25SB7,GO,non,10,120.0,M 6,"8,699999809","7,199999809",,203.0,"0,388000011",,"0,222000003","0,266000003","0,001",2028,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP602N035,639/2KAA71280N1M3J2S29,GO,non,8,100.0,M 6,"8,699999809","6,300000191",,187.0,"0,046",,"0,196999997","0,216000006",0,1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 316 CDI - 37,M10MCDVPF14W447,906AC35KHMD1349NMEB25TA9,GO,non,10,120.0,M 6,"10,30000019","6,699999809",8.0,210.0,"0,48300001",,"0,221000001","0,287",0,2124,2185,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVPG11J569,639/2LAA71305N3M3G1V27,GO,non,9,100.0,M 6,"9,5","6,699999809",,203.0,"0,046",,"0,196999997","0,216000006",0,2356,2585,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP021T974,639/2KAA71280N1M3G2T29,GO,non,9,100.0,M 6,"8,899999619","6,5",,192.0,"0,174999997",,"0,225999996","0,247999996","0,001",2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPF134614,906AC35KHMC1349EMFC25TB9,GO,non,9,95.0,A 7,10,"7,300000191",,219.0,"0,100000001",,"0,246999994","0,252999991","0,001",2124,2185,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L3H2 TDI (163ch),M10VWGVPC49E162,2EC2KM4D1349NLEB24WA9,GO,non,10,120.0,M 6,"8,899999619",7,,203.0,"0,409000009",,"0,213","0,25","0,001",2219,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP604Z821,639/2LAB61280N2A1G2S37,GO,non,15,165.0,A 5,"10,89999962",7,,221.0,"0,361000001",,"0,256999999","0,289000005",0,2050,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H2 TDI (109ch) BlueMotion,M10VWGVPC47T301,2EC2KM4B1320NNED25VB7,GO,non,8,80.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238000005","0,001",1982,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP376K682,639/2LAA31305N1M3C1W37,GO,non,10,120.0,M 6,"9,5","6,699999809",,203.0,"0,174999997",,"0,225999996","0,247999996","0,001",2586,2600,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
BMW,SERIE 3,318,"318d xDrive Touring (jantes 16'' 225/55, 17'', 18'' et 19'')",M10BMWVP0156817,3K8J315H250000,GO,non,8,105.0,M 6,"6,099999905","4,400000095",5.0,132.0,"0,225999996",,"0,112000003","0,138999999",0,1635,1635,"""715/2007*195/2013EURO5",,BREAK,SUPERIEURE,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVPG11X838,639/2LBA71280N2M3B1U27,GO,non,9,100.0,M 6,"9,5","6,699999809",,203.0,"0,046",,"0,196999997","0,216000006",0,2186,2350,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,CLASSE E,E 63 AMG,E 63 AMG 4MATIC WAGON STATION BVA7,M10MCDVPFY69583,212KJ27UP1RZCCB500,ES,non,47,410.0,A 7,"14,39999962","8,199999809",,246.0,"0,305000007","0,045000002","0,039000001",,0,2025,2025,"""715/2007*195/2013EURO6",,BREAK,LUXE,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H3 TDI (136ch),M10VWGVPE039808,2EC2KH4C1350NMED24TB9,GO,non,9,100.0,M 6,"9,899999619","7,400000095",,218.0,"0,136999995",,"0,214000002","0,238999993","0,001",2100,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPF14P113,906AC35KHMC1350NMEC25WA9,GO,non,9,95.0,M 6,"10,89999962",7,,224.0,"0,086000003",,"0,230000004","0,263000011",0,2586,2815,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,CLASSE GLA,GLA 200,GLA 200 BVM6,M10MCDVPGJ9T905,245G274HQ2HZAAB500,ES,non,8,115.0,M 6,"7,900000095","4,699999809",,137.0,"0,136999995","0,032000002","0,017000001",,"0,001",1395,1395,"""715/2007*195/2013EURO6",,TS TERRAINS/CHEMINS,LUXE,,,,
VOLKSWAGEN,KOMBI,KOMBI,TRANSPORTER COMBI L2 2.0 TDI (140ch) 4MOTION BlueMotion,M10VWGVPD627802,7HCGCAAC308X1LMAM6500917NVR27MJG0S,GO,non,9,103.0,M 6,"9,600000381","6,5",,199.0,"0,016000001",,"0,250999987","0,273999989","0,001",2027,2027,"""715/2007*195/2013EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVPG09J428,639/2LAA31280N1M3F2T28,GO,non,10,120.0,M 6,"8,800000191","6,400000095",,190.0,"0,046",,"0,196999997","0,216000006",0,2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L3H2 TDI (163ch),M10VWGVPC48Z694,2EC2KM4D1320ELEC24WA7,GO,non,10,120.0,M 6,"9,399999619","7,199999809",8.0,209.0,"0,388000011",,"0,222000003","0,266000003","0,001",2219,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L4H2 TDI (163ch) BlueMotion,M10VWGVPE07W051,2EC2KM4D1349ESEC25VA9,GO,non,10,120.0,M 6,"8,699999809","7,199999809",,203.0,"0,386000007",,"0,222000003","0,266000003","0,001",2279,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI 4x4,M10MCDVP611K023,639/2KAA73305N1A2F2T38,GO,non,9,100.0,A 5,11,"7,300000191",,230.0,"0,006",,"0,210999995","0,219999999",0,2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
OPEL,ADAM,ADAM,ADAM 1.4 Twinport (100ch) BVM5,M10PELVP198J943,S-DUR111BABE4C5PHR4,ES,non,6,74.0,M 5,"7,300000191","4,400000095",,129.0,"0,578000009","0,039999999","0,027000001",,,1120,1120,"""715/2007*630/2012EURO5",,BERLINE,ECONOMIQUE,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L4H2 TDI (163ch),M10VWGVPE07B030,2EC2KM4D1349ESEB24VB9,GO,non,10,120.0,M 6,"8,899999619",7,,203.0,"0,400999993",,"0,213","0,250999987","0,001",2279,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVP601W469,639/2KAA31280N1M3D2T39,GO,non,10,120.0,M 6,"8,800000191","6,400000095",,190.0,"0,046",,"0,196999997","0,216000006",0,2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
